fung,AI,isolate,code,date_measured,DPI,trt,rate_ppm,rep,length_mm,width_mm,avg_mm,area
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0,1,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0,2,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0,3,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.01,1,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.01,2,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.01,3,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.1,1,54.13,55.37,49.75,1943.550313
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.1,2,51.78,52.5,47.14,1745.142519
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,0.1,3,57.56,55.93,51.745,2102.355258
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,10,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,10,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,10,3,13.7,13.33,8.515,56.91691163
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,100,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,100,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,100,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,500,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,500,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,500,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1000,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1000,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/23,7,1,1000,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0,1,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0,2,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0,3,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.01,1,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.01,2,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.01,3,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.1,1,52.34,51.21,46.775,1718.071742
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.1,2,49.03,48.96,43.995,1520.139493
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,0.1,3,45.14,45.26,40.2,1269.194588
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1,1,22.97,22.22,17.595,243.0291103
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1,2,17.84,16.66,12.25,117.5819469
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1,3,19.53,18.15,13.84,150.0612086
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,10,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,10,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,10,3,12.38,13.25,7.815,47.81755688
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,100,1,13.95,12.89,8.42,55.45964831
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,100,2,13.5,13.1,8.3,54.07306875
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,100,3,14.62,14.23,9.425,69.73548823
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1000,1,8.79,7.53,3.16,7.530725263
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1000,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/23,7,1,1000,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0,1,84,84,79,4901.525375
