fung,AI,isolate,code,date_measured,DPI,trt,rate_ppm,rep,length_mm,width_mm,avg_mm,area
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0,1,84,84,79,4901.525375
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0,2,84,84,79,4901.525375
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0,3,84,84,79,4901.525375
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.01,1,83.93,82.32,78.125,4793.039641
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.01,2,79.03,80.93,74.98,4414.669763
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.01,3,84,84,79,4901.525375
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.1,1,67.49,72.97,65.23,3335.837352
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.1,2,76.78,75.03,70.905,3947.886452
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,0.1,3,73.91,72.24,68.075,3639.04166
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,1,1,19.83,19.24,14.535,165.8548642
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,1,2,11.55,10.34,5.945,27.47006138
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,1,3,15.57,13.35,9.46,69.31680481
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,10,1,8.1,6.6,2.35,3.89546
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,10,2,10.84,6.19,3.515,5.4580421
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,10,3,7.17,7.82,2.495,4.806023775
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,100,1,5.51,5.8,0.655,0.320433
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/23,7,1,100,2,6.27,5.62,0.945,0.618404275
